id_transaccion,id_cliente,fecha,categoria_producto,cantidad_items,monto_total,canal_venta,medio_pago,localidad
TX-000003,CLI-00028,2024-06-07,Pinturas y revestimientos,8,268556.4,Telefónico,Transferencia,Ushuaia
TX-000005,CLI-00526,2024-06-08,Herramientas manuales,3,34075.08,App,Efectivo en sucursal,Ushuaia
TX-000006,CLI-01234,2024-06-17,Plomería y caños,6,25251.74,Web,Transferencia,Río Grande
TX-000007,CLI-00912,2024-06-19,Pisos y cerámicos,17,362860.21,App,Transferencia,Tolhuin
TX-000008,CLI-00443,2024-06-19,Herramientas manuales,2,18054.89,App,Tarjeta de débito,Río Grande
TX-000010,CLI-00701,2024-06-19,Ferretería general,15,162665.89,Telefónico,Cuenta corriente,Río Grande
TX-000011,CLI-00835,2024-06-19,Maderas y tableros,2,25186.56,Web,Tarjeta de crédito,Río Grande
TX-000012,CLI-00614,2024-06-19,Pinturas y revestimientos,4,42000.42,Web,Tarjeta de crédito,Río Grande
TX-000015,CLI-01013,2024-06-21,Herramientas manuales,2,80548.61,Telefónico,Efectivo en sucursal,Ushuaia
TX-000014,CLI-00867,2024-06-21,Ferretería general,7,14444.02,Web,Tarjeta de crédito,Río Grande
TX-000013,CLI-00629,2024-06-21,Cemento y áridos,27,410573.07,Web,Cuenta corriente,Río Grande
TX-000016,CLI-00351,2024-06-22,Sanitarios y grifería,4,237904.38,App,Cuenta corriente,RÍO GRANDE
TX-000017,CLI-00912,2024-06-23,Maderas y tableros,5,98895.45,App,Transferencia,Tolhuin
TX-000018,CLI-00298,2024-06-24,Herramientas manuales,1,15025.92,Web,Tarjeta de débito,Río Grande
TX-000019,CLI-00057,2024-06-24,Seguridad e indumentaria,5,84234.15,Web,Transferencia,Río Grande
TX-000020,CLI-00304,2024-06-24,Cemento y áridos,39,426675.3,Web,Cuenta corriente,Ushuaia
TX-000021,CLI-01277,2024-06-25,Herramientas eléctricas,1,98746.33,Web,Efectivo en sucursal,Ushuaia
TX-000022,CLI-00079,2024-06-26,Pisos y cerámicos,7,80260.14,Web,Tarjeta de débito,Ushuaia
TX-000024,CLI-01234,2024-06-27,Pinturas y revestimientos,3,40293.06,App,Efectivo en sucursal,Río Grande
TX-000023,CLI-01033,2024-06-27,Plomería y caños,9,50786.19,Web,Tarjeta de débito,Tolhuin
TX-000025,CLI-00980,2024-06-28,Electricidad e iluminación,2,17180.82,Web,Transferencia,Tolhuin
TX-000026,CLI-00980,2024-06-28,Seguridad e indumentaria,4,118131.61,Web,Transferencia,Tolhuin
TX-000027,CLI-00393,2024-06-28,Ferretería general,3,6463.18,Web,Tarjeta de débito,ushuaia
TX-000028,CLI-00298,2024-06-29,Sanitarios y grifería,3,115512.4,Web,Tarjeta de débito,Rio Grande
TX-000030,CLI-00926,2024-06-29,Plomería y caños,3,13112.18,Web,Transferencia,Ushuaia
TX-000031,CLI-01237,2024-06-29,Pisos y cerámicos,16,150800.01,App,Tarjeta de débito,Río Grande
