id_transaccion,id_cliente,fecha,categoria_producto,cantidad_items,monto_total,canal_venta,medio_pago,localidad
TX-000001,CLI-00514,2024-06-02,Herramientas manuales,3,35488.78,Web,Tarjeta de débito,Tolhuin
TX-000003,CLI-05671,2024-06-03,Seguridad e indumentaria,4,176857.58,App,Cuenta corriente,Río Grande
TX-000004,CLI-01439,2024-06-05,Maderas y tableros,4,50604.82,Web,Tarjeta de crédito,Río Grande
TX-000006,CLI-05345,2024-06-06,Pinturas y revestimientos,3,45027.38,Web,T. débito,Ushuaia
TX-000007,CLI-05417,2024-06-07,Aberturas,2,136571.52,App,Efectivo en sucursal,Río Grande
TX-000008,CLI-01601,2024-06-07,Pinturas y revestimientos,3,122802.29,App,Transferencia,río grande
TX-000009,CLI-05089,2024-06-07,Herramientas manuales,1,27033.33,App,Cuenta corriente,RÍO GRANDE
TX-000010,CLI-06120,2024-06-08,Pinturas y revestimientos,2,28843.19,Web,Tarjeta de débito,Río Grande
TX-000011,CLI-00839,2024-06-08,Electricidad e iluminación,2,10620.18,Web,Transferencia,Río Grande
TX-000012,CLI-03340,2024-06-08,Ferretería general,10,18537.86,App,Tarjeta de débito,Río Grande
TX-000013,CLI-04798,2024-06-09,Cemento y áridos,2,16861.68,Web,Tarjeta de crédito,USHUAIA
TX-000014,CLI-06161,2024-06-09,Sanitarios y grifería,2,62263.7,Web,Tarjeta de débito,Tolhuin
TX-000016,CLI-03941,2024-06-10,Electricidad e iluminación,12,107464.95,Web,Tarjeta de crédito,Río Grande
TX-000017,CLI-03119,2024-06-11,Electricidad e iluminación,4,72614.94,Telefónico,Transferencia,Ushuaia
TX-000019,CLI-01155,2024-06-11,Herramientas manuales,4,31928.93,App,Tarjeta de crédito,Río Grande
TX-000020,CLI-00362,2024-06-11,Maderas y tableros,3,37846.74,Web,Transferencia,Río Grande
TX-000021,CLI-03393,2024-06-11,Sanitarios y grifería,6,609962.24,App,Transferencia,Río Grande
TX-000022,CLI-00073,2024-06-11,Cemento y áridos,20,627512.39,Telefónico,Cuenta corriente,Río Grande
TX-000023,CLI-00448,2024-06-12,Ferretería general,5,15049.86,App,Tarjeta de débito,Ushuaia 
TX-000024,CLI-00795,2024-06-12,Plomería y caños,2,12723.27,Web,Transferencia,Ushuaia
TX-000025,CLI-00464,2024-06-12,Pinturas y revestimientos,2,27958.88,Web,Efectivo en sucursal,Río Grande
TX-000028,CLI-05545,2024-06-12,Herramientas manuales,2,21848.22,App,Transferencia,Ushuaia
TX-000030,CLI-02051,2024-06-12,Sanitarios y grifería,3,132623.25,Web,Tarjeta de débito,Ushuaia
TX-000036,CLI-02032,2024-06-13,Pinturas y revestimientos,2,32333.83,Web,Tarjeta de débito,RÍO GRANDE
TX-000034,CLI-01851,2024-06-13,Plomería y caños,2,7663.42,Telefónico,Efectivo en sucursal,Río Grande
TX-000031,CLI-03535,2024-06-13,Cemento y áridos,7,43240.3,Web,Tarjeta de crédito,Río Grande
TX-000032,CLI-04547,2024-06-13,Plomería y caños,9,35062.93,App,Tarjeta de débito,Río Grande
TX-000033,CLI-03899,2024-06-13,Pinturas y revestimientos,5,88442.11,Web,Transferencia,Río Grande
TX-000037,CLI-02473,2024-06-14,Electricidad e iluminación,2,13736.38,App,Tarjeta de débito,Tolhuin
TX-000039,CLI-06459,2024-06-14,Maderas y tableros,4,166745.07,Web,Tarjeta de crédito,Río Grande
TX-000041,CLI-03938,2024-06-14,Aberturas,2,193211.26,Telefónico,T. crédito,Río Grande 
TX-000042,CLI-04844,2024-06-14,Pinturas y revestimientos,2,21788.93,Web,Transferencia,Río Grande
TX-000043,CLI-06369,2024-06-15,Herramientas manuales,3,30955.77,Web,Tarjeta de débito,Tolhuin
TX-000044,CLI-01101,2024-06-15,Pinturas y revestimientos,5,131978.41,Telefónico,Transferencia,Río Grande
TX-000051,CLI-02325,2024-06-17,Ferretería general,4,7089.83,Web,Transferencia,Río Grande
TX-000053,CLI-01716,2024-06-17,Electricidad e iluminación,17,183206.29,Web,Tarjeta de débito,Tolhuin
TX-000045,CLI-06361,2024-06-17,Maderas y tableros,10,339734.85,Telefónico,Tarjeta de crédito,Ushuaia
TX-000054,CLI-03644,2024-06-18,Pinturas y revestimientos,1,10426.72,Web,Tarjeta de crédito,ushuaia
TX-000056,CLI-05081,2024-06-18,Plomería y caños,1,3715.95,Web,Transferencia,Ushuaia
TX-000057,CLI-06733,2024-06-18,Cemento y áridos,158,3008334.89,Telefónico,Transferencia,Ushuaia
TX-000058,CLI-01973,2024-06-18,Pisos y cerámicos,6,52589.17,Web,Cuenta corriente,Río Grande
TX-000059,CLI-00362,2024-06-18,Cemento y áridos,10,94579.69,Web,Efectivo en sucursal,Río Grande
TX-000060,CLI-01949,2024-06-18,Cemento y áridos,18,95296.98,Web,Cuenta corriente,Río Grande
TX-000061,CLI-01784,2024-06-18,Herramientas manuales,3,77456.16,Web,Transferencia,Ushuaia
TX-000066,CLI-05838,2024-06-19,Herramientas manuales,4,84084.32,App,Tarjeta de crédito,Ushuaia
TX-000067,CLI-01946,2024-06-19,Plomería y caños,18,80768.97,Web,Transferencia,Ushuaia
TX-000065,CLI-06596,2024-06-19,Maderas y tableros,13,274334.49,App,Cuenta corriente,Ushuaia
TX-000068,CLI-02539,2024-06-19,Pinturas y revestimientos,3,42931.18,Web,Transferencia,Ushuaia
TX-000063,CLI-04969,2024-06-19,Herramientas manuales,2,22694.49,Web,Tarjeta de débito,Tolhuin
TX-000062,CLI-06622,2024-06-19,Electricidad e iluminación,3,21704.68,Web,Tarjeta de crédito,Ushuaia
TX-000064,CLI-05537,2024-06-19,Pinturas y revestimientos,5,91686.58,Web,Tarjeta de crédito,Ushuaia
TX-000069,CLI-05147,2024-06-20,Ferretería general,2,5065.52,Web,Tarjeta de crédito,Ushuaia
TX-000070,CLI-00879,2024-06-20,Herramientas manuales,2,17890.0,Web,Transferencia,Río Grande
TX-000071,CLI-03535,2024-06-20,Pinturas y revestimientos,3,50104.4,Web,Transferencia,Río Grande
TX-000072,CLI-01374,2024-06-20,Cemento y áridos,13,83362.76,Web,Tarjeta de crédito,Ushuaia
TX-000074,CLI-05358,2024-06-20,Ferretería general,3,8747.29,App,Tarjeta de débito,Ushuaia
TX-000075,CLI-01413,2024-06-20,Herramientas manuales,6,70440.04,Web,Transferencia,Río Grande
TX-000076,CLI-00073,2024-06-20,Plomería y caños,35,600981.78,App,Efectivo en sucursal,Río Grande
TX-000094,CLI-05418,2024-06-21,Electricidad e iluminación,2,13336.61,App,Tarjeta de débito,Ushuaia
TX-000092,CLI-01869,2024-06-21,Pinturas y revestimientos,4,81551.11,Web,Tarjeta de débito,Río Grande
TX-000091,CLI-04395,2024-06-21,Electricidad e iluminación,2,12884.73,Web,Tarjeta de crédito,Ushuaia
TX-000090,CLI-02740,2024-06-21,Ferretería general,8,26808.18,App,Efectivo en sucursal,ushuaia
TX-000089,CLI-02130,2024-06-21,Sanitarios y grifería,2,50085.59,Web,Tarjeta de débito,Río Grande
TX-000084,CLI-01090,2024-06-21,Electricidad e iluminación,2,9727.11,App,Efectivo en sucursal,Tolhuin
TX-000086,CLI-03003,2024-06-21,Pinturas y revestimientos,3,43816.7,Web,Tarjeta de crédito,USHUAIA
TX-000085,CLI-03325,2024-06-21,Cemento y áridos,28,383374.71,Telefónico,Cuenta corriente,Río Grande
TX-000082,CLI-03340,2024-06-21,Herramientas eléctricas,1,95071.3,App,Transferencia,Río Grande
TX-000078,CLI-01321,2024-06-21,Ferretería general,10,28207.3,Web,Transferencia,Tolhuin
TX-000087,CLI-05990,2024-06-21,Herramientas manuales,4,50526.3,Web,Transferencia,Río Grande
TX-000097,CLI-05550,2024-06-22,Seguridad e indumentaria,2,38563.15,Web,Tarjeta de crédito,Ushuaia
TX-000095,CLI-02583,2024-06-22,Sanitarios y grifería,3,315438.71,Telefónico,Transferencia,río grande
TX-000096,CLI-00094,2024-06-22,Pisos y cerámicos,17,293787.36,App,Cuenta corriente,Ushuaia
TX-000098,CLI-05671,2024-06-22,Electricidad e iluminación,5,67976.02,App,Transferencia,Río Grande
TX-000100,CLI-02091,2024-06-23,Sanitarios y grifería,4,286333.95,App,Tarjeta de crédito,Río Grande
